_id,contributors,created_at,entities.hashtags,entities.media,entities.symbols,entities.urls,entities.user_mentions,extended_entities.media,favorite_count,favorited,geo,geo.coordinates,geo.type,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,lang,place.id,place.name,place.place_type,place.url,possibly_sensitive,retweet_count,retweeted,source,text,truncated,user.contributors_enabled,user.created_at,user.default_profile,user.default_profile_image,user.description,user.entities,user.favourites_count,user.follow_request_sent,user.followers_count,user.following,user.friends_count,user.geo_enabled,user.id,user.id_str,user.is_translation_enabled,user.is_translator,user.lang,user.listed_count,user.location,user.name,user.notifications,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_banner_url,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_location,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.protected,user.screen_name,user.statuses_count,user.time_zone,user.url,user.utc_offset,user.verified
62638ce0e9b376a34e81dffd,null,Sun Dec 14 23:13:10 +0000 2014,"[{""indices"":[15,24],""text"":""BREAKING""}]",,[],[],"[{""id"":16834659,""indices"":[1,13],""id_str"":""16834659"",""screen_name"":""SkyNewsAust"",""name"":""Sky News Australia""}]",,0,false,null,,,544268890969477121,544268890969477121,SkyNewsAust,544268732046913536,544268732046913536,16834659,16834659,en,,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","“@SkyNewsAust: #BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.”",false,false,Thu Feb 17 16:22:05 +0000 2011,true,false,Dublin based Broadcast Journalist. All views expressed here are my own.,,1267,false,866,false,1694,false,253615698,253615698,false,false,en,25,"Dublin, Ireland",Eamonn Torsney,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,https://pbs.twimg.com/profile_banners/253615698/1401648759,http://pbs.twimg.com/profile_images/584492211603120128/3oRLXpO9_normal.jpg,https://pbs.twimg.com/profile_images/584492211603120128/3oRLXpO9_normal.jpg,0084B4,null,C0DEED,DDEEF6,333333,true,false,thetorse,19607,null,null,null,false
62638ce1dbb814280221d2af,null,Sun Dec 14 23:17:57 +0000 2014,[],,[],[],"[{""id"":253615698,""indices"":[0,9],""id_str"":""253615698"",""screen_name"":""thetorse"",""name"":""Eamonn Torsney""},{""id"":16834659,""indices"":[10,22],""id_str"":""16834659"",""screen_name"":""SkyNewsAust"",""name"":""Sky News Australia""}]",,0,false,null,,,544270096521527296,544270096521527296,thetorse,544268890969477121,544268890969477121,253615698,253615698,en,,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@thetorse @SkyNewsAust reports of an ISIS flag too I saw?,false,false,Tue Jun 17 11:19:55 +0000 2008,false,false,Mostly Head of Creative @NewSlangIE // Sometimes food-writer with @Culch_IE // Often tweeting.,,9863,false,3734,false,1013,true,15144505,15144505,false,false,en,70,"Ranners, Dubland",Seán Earley,false,1C1A1A,http://pbs.twimg.com/profile_background_images/172399209/twitbg.jpg,https://pbs.twimg.com/profile_background_images/172399209/twitbg.jpg,false,https://pbs.twimg.com/profile_banners/15144505/1400843846,http://pbs.twimg.com/profile_images/513808796310052864/CIC-sPc7_normal.jpeg,https://pbs.twimg.com/profile_images/513808796310052864/CIC-sPc7_normal.jpeg,EDCA2F,null,181A1E,C25F5F,8C818C,true,false,seanearley,77946,Dublin,http://t.co/wvyroj1SH9,0,false
62638ce1c9e85c2539581c1e,null,Sun Dec 14 23:25:24 +0000 2014,[],,[],[],"[{""id"":15144505,""indices"":[0,11],""id_str"":""15144505"",""screen_name"":""seanearley"",""name"":""Seán Earley""},{""id"":16834659,""indices"":[59,71],""id_str"":""16834659"",""screen_name"":""SkyNewsAust"",""name"":""Sky News Australia""}]",,0,false,null,,,544271971371188224,544271971371188224,seanearley,544270096521527296,544270096521527296,15144505,15144505,en,,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@seanearley some disturbing images also posted on twitter. @SkyNewsAust,false,false,Thu Feb 17 16:22:05 +0000 2011,true,false,Dublin based Broadcast Journalist. All views expressed here are my own.,,1267,false,866,false,1694,false,253615698,253615698,false,false,en,25,"Dublin, Ireland",Eamonn Torsney,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,https://pbs.twimg.com/profile_banners/253615698/1401648759,http://pbs.twimg.com/profile_images/584492211603120128/3oRLXpO9_normal.jpg,https://pbs.twimg.com/profile_images/584492211603120128/3oRLXpO9_normal.jpg,0084B4,null,C0DEED,DDEEF6,333333,true,false,thetorse,19607,null,null,null,false
62638ce2f9f53dbad9e7b32d,null,Sun Dec 14 23:38:05 +0000 2014,"[{""indices"":[15,20],""text"":""ISIS""},{""indices"":[96,103],""text"":""Sydney""}]",,[],[],"[{""id"":16834659,""indices"":[30,42],""id_str"":""16834659"",""screen_name"":""SkyNewsAust"",""name"":""Sky News Australia""}]",,1,false,null,,,544275161982455808,544275161982455808,SkyNewsAust,544268732046913536,544268732046913536,16834659,16834659,en,,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Forced to hold #ISIS flag? MT @SkyNewsAust: BREAKING: Hostages held &amp; siege taking place at #Sydney's Lindt Chocolat Cafe in Martin Place.",false,false,Tue Oct 13 02:28:50 +0000 2009,false,false,"Australian girl from Melbourne & passionate @CollingwoodFC member in Manhattan! News & politics junkie (left). I love music, footy, film, craft beer. M.S ☤ PA-C",,2053,false,1189,false,854,true,81990798,81990798,false,false,en,30,New York-Palm Springs-Seattle,Stephanie SleighRide,false,131516,http://pbs.twimg.com/profile_background_images/367702730/nyc_skyline1PA.jpg,https://pbs.twimg.com/profile_background_images/367702730/nyc_skyline1PA.jpg,true,https://pbs.twimg.com/profile_banners/81990798/1418819169,http://pbs.twimg.com/profile_images/583386661272330240/YCqrhCer_normal.jpg,https://pbs.twimg.com/profile_images/583386661272330240/YCqrhCer_normal.jpg,009999,null,EEEEEE,EFEFEF,333333,true,false,KissStephanie,21019,Eastern Time (US & Canada),http://t.co/TPu0Mwn7XG,-18000,false
62638ce3fd13d8f482225df9,null,Sun Dec 14 23:40:12 +0000 2014,[],,[],[],"[{""id"":16834659,""indices"":[0,12],""id_str"":""16834659"",""screen_name"":""SkyNewsAust"",""name"":""Sky News Australia""}]",,0,false,null,,,544275696433246208,544275696433246208,SkyNewsAust,544268732046913536,544268732046913536,16834659,16834659,en,,,,,,0,false,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@SkyNewsAust send your SAS in and fast,false,false,Tue Jan 04 10:17:57 +0000 2011,false,false,,,361,false,104,false,617,true,233885425,233885425,false,false,en,0,"Sittingbourne,Kent",GB photography ,false,022330,http://pbs.twimg.com/profile_background_images/439454086140661760/J70U2vvr.jpeg,https://pbs.twimg.com/profile_background_images/439454086140661760/J70U2vvr.jpeg,false,,http://pbs.twimg.com/profile_images/576514658992930816/GBSXSxm-_normal.jpeg,https://pbs.twimg.com/profile_images/576514658992930816/GBSXSxm-_normal.jpeg,3B94D9,null,FFFFFF,DDEEF6,333333,false,false,Pardus_UK,1855,London,http://t.co/qQcbBDX3yH,0,false
62638ce3fdbb6f0cd40e3f2f,null,Sun Dec 14 23:57:11 +0000 2014,"[{""indices"":[15,24],""text"":""BREAKING""}]",,[],[],"[{""id"":16834659,""indices"":[1,13],""id_str"":""16834659"",""screen_name"":""SkyNewsAust"",""name"":""Sky News Australia""},{""id"":289390002,""indices"":[128,139],""id_str"":""289390002"",""screen_name"":""AngieTVLau"",""name"":""Angie Lau""}]",,0,false,,"[-37.7489708,145.00052637]",Point,544279970483159040,544279970483159040,SkyNewsAust,544268732046913536,544268732046913536,16834659,16834659,en,01864a8a64df9dc4,Melbourne,city,https://api.twitter.com/1.1/geo/id/01864a8a64df9dc4.json,,1,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","“@SkyNewsAust: #BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.” @AngieTVLau",false,false,Sat Nov 06 05:01:40 +0000 2010,true,false,"Love F1, Ferrari (Im a Ferrarista and Ferrari member) Melbourne Victory FC and my wife! Banker in BB. Studying to be a FX trader. #SFMembers",,147,false,1254,false,1998,true,212473438,212473438,false,false,en,17,"Melbourne, Australia",Anthony Hvala,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,https://pbs.twimg.com/profile_banners/212473438/1363595872,http://pbs.twimg.com/profile_images/575604194943483904/d8E6emcO_normal.jpeg,https://pbs.twimg.com/profile_images/575604194943483904/d8E6emcO_normal.jpeg,0084B4,null,C0DEED,DDEEF6,333333,true,false,Ferrarikid1,11013,Melbourne,http://t.co/R7BzN61OZ3,39600,false
62638ce470898f039ca872d7,null,Mon Dec 15 01:22:35 +0000 2014,"[{""indices"":[39,48],""text"":""BREAKING""}]",,[],[],"[{""id"":16834659,""indices"":[25,37],""id_str"":""16834659"",""screen_name"":""SkyNewsAust"",""name"":""Sky News Australia""}]",,0,false,null,,,544301461845188608,544301461845188608,SkyNewsAust,544268732046913536,544268732046913536,16834659,16834659,en,,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Wow! I was just there RT @SkyNewsAust: #BREAKING: Hostages are being held &amp; a siege is taking place at Sydney's Lindt Cafe in Martin Place",false,false,Tue Aug 04 19:10:19 +0000 2009,false,false,ENTJ | Husband l Father l Latino | Millennial | Entrepreneur | Doer not Dreamer | Mormon | Baseball | Kitchen Ninja | All tweets are mine |,,96,false,1867,false,757,true,62899824,62899824,false,false,en,12,ASU & HBS,Viramontes,false,000000,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,false,https://pbs.twimg.com/profile_banners/62899824/1380919395,http://pbs.twimg.com/profile_images/348029000/Copy_of_dland3_normal.PNG,https://pbs.twimg.com/profile_images/348029000/Copy_of_dland3_normal.PNG,3B94D9,null,000000,000000,000000,false,false,saViramontes,1682,Arizona,null,-25200,false
62638ce52b130eff10559dd0,null,Mon Dec 15 02:03:16 +0000 2014,"[{""indices"":[19,28],""text"":""BREAKING""}]",,[],[],"[{""id"":16834659,""indices"":[5,17],""id_str"":""16834659"",""screen_name"":""SkyNewsAust"",""name"":""Sky News Australia""}]",,0,false,null,,,544311698195095552,544311698195095552,SkyNewsAust,544268732046913536,544268732046913536,16834659,16834659,en,,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Omg “@SkyNewsAust: #BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.”",false,false,Wed Feb 03 01:48:12 +0000 2010,true,false,"A cool, young Dad. I am Daddy Cool. Headhunter, MMA enthusiast, gym rat wannabe, videogamer. Oh, and Gooner for Life.",,36,false,103,false,192,true,110872598,110872598,false,false,en,1,Kuala Lumpur,Raja Ahmad Muzamir,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,https://pbs.twimg.com/profile_banners/110872598/1377757759,http://pbs.twimg.com/profile_images/550839123141865473/JH5I0kIx_normal.jpeg,https://pbs.twimg.com/profile_images/550839123141865473/JH5I0kIx_normal.jpeg,0084B4,null,C0DEED,DDEEF6,333333,true,false,rmuzamir,1726,Kuala Lumpur,null,28800,false
62638ce5a10c4c36a86e8f32,null,Sun Dec 14 23:19:43 +0000 2014,[],,[],[],"[{""id"":15250661,""indices"":[0,12],""id_str"":""15250661"",""screen_name"":""newscomauHQ"",""name"":""news.com.au""},{""id"":1607528220,""indices"":[13,21],""id_str"":""1607528220"",""screen_name"":""ka_robo"",""name"":""KA""}]",,4,false,null,,,544270541725511680,544270541725511680,newscomauHQ,544269749405097984,544269749405097984,15250661,15250661,en,,,,,,2,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@newscomauHQ @ka_robo That sure looks like an ISIS flag to me! You bastards, don't bring your filthy terror religion to my country!",false,false,Fri Aug 06 02:17:15 +0000 2010,false,false,Proud to be a 6th generation Aussie. Proud to have Abbott as my PM. I dont tolerate whinging handout mentality.,,36001,false,1507,false,1051,false,175243720,175243720,false,false,en,15,,Duchess of Exeter,false,ACDED6,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,false,https://pbs.twimg.com/profile_banners/175243720/1401615397,http://pbs.twimg.com/profile_images/553646401737867264/GPHbnVjL_normal.jpeg,https://pbs.twimg.com/profile_images/553646401737867264/GPHbnVjL_normal.jpeg,038543,null,EEEEEE,F6F6F6,333333,true,false,WhosFibbing,57540,null,null,null,false
62638ce6d22af9b96afed8ac,null,Sun Dec 14 23:26:43 +0000 2014,[],,[],[],"[{""id"":15250661,""indices"":[0,12],""id_str"":""15250661"",""screen_name"":""newscomauHQ"",""name"":""news.com.au""},{""id"":70150157,""indices"":[13,22],""id_str"":""70150157"",""screen_name"":""EndTheEU"",""name"":""Sean Hyland""}]",,0,false,null,,,544272301416775680,544272301416775680,newscomauHQ,544269749405097984,544269749405097984,15250661,15250661,en,,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@newscomauHQ @EndTheEU feel the enrichment,false,false,Wed Sep 24 18:47:25 +0000 2014,true,false,,,234,false,41,false,113,false,2782737520,2782737520,false,false,en-gb,0,The North ,Arnold Tamzarian,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,https://pbs.twimg.com/profile_banners/2782737520/1414097884,http://pbs.twimg.com/profile_images/527947289785274368/B_PSLyhv_normal.jpeg,https://pbs.twimg.com/profile_images/527947289785274368/B_PSLyhv_normal.jpeg,0084B4,null,C0DEED,DDEEF6,333333,true,false,kuntytheclown,752,null,null,null,false
